epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35856,1.4903,2.19837,1.37261,0.99994,1,0.995,0.67005,1.26001,2.62178,1.20216,0.000650794,0.000650794,0.000650794
2,11.6226,0.9761,1.25865,1.05655,0.98636,1,0.99453,0.69821,1.02477,1.44213,1.11817,0.00130442,0.00130442,0.00130442
3,16.6822,0.89552,1.06786,1.042,0.99811,1,0.995,0.77178,0.93281,1.06977,1.14416,0.00194484,0.00194484,0.00194484
4,21.7377,0.90629,0.89544,1.02224,0.99908,1,0.995,0.76722,0.90125,0.89283,1.09304,0.0019406,0.0019406,0.0019406
5,26.6014,0.88448,0.7965,1.01039,0.99898,1,0.995,0.72775,0.97983,0.78942,0.97346,0.0019208,0.0019208,0.0019208
6,31.6889,0.84326,0.73562,0.99174,0.99879,1,0.995,0.80025,0.76363,0.61187,0.94935,0.001901,0.001901,0.001901
7,36.7383,0.84577,0.66238,1.00845,0.99913,1,0.995,0.79662,0.79823,0.58306,0.96282,0.0018812,0.0018812,0.0018812
8,41.4838,0.89465,0.6306,1.02609,0.99878,1,0.995,0.79182,0.75424,0.55281,0.92419,0.0018614,0.0018614,0.0018614
9,46.1898,0.84932,0.60407,1.00142,0.99641,1,0.995,0.80325,0.76268,0.51772,0.95667,0.0018416,0.0018416,0.0018416
10,51.2039,0.817,0.56986,0.98138,0.99908,1,0.995,0.79819,0.73514,0.45996,0.92139,0.0018218,0.0018218,0.0018218
11,55.847,0.82845,0.55579,0.974,0.99922,1,0.995,0.80436,0.66497,0.43619,0.90618,0.001802,0.001802,0.001802
12,60.7095,0.75356,0.51524,0.96271,0.99921,1,0.995,0.80023,0.76433,0.46641,0.93985,0.0017822,0.0017822,0.0017822
13,65.6672,0.75341,0.49846,0.96421,0.99922,1,0.995,0.80536,0.75363,0.44045,0.95565,0.0017624,0.0017624,0.0017624
14,70.5686,0.78534,0.51362,0.96155,0.99912,1,0.995,0.8116,0.68412,0.43639,0.91099,0.0017426,0.0017426,0.0017426
